State,RPP
United States,100.000
Alabama,88.823
Alaska,102.359
Arizona,100.677
Arkansas,86.937
California,110.720
Colorado,103.052
Connecticut,103.610
Delaware,99.808
District of Columbia,109.901
Florida,103.414
Georgia,96.293
Hawaii,109.951
Idaho,95.494
Illinois,99.958
Indiana,93.329
Iowa,87.762
Kansas,90.068
Kentucky,90.159
Louisiana,88.207
Maine,97.050
Maryland,104.959
Massachusetts,105.757
Michigan,96.217
Minnesota,98.621
Mississippi,86.953
Missouri,90.817
Montana,94.645
Nebraska,90.103
Nevada,99.979
New Hampshire,104.165
New Jersey,108.805
New Mexico,92.212
New York,107.921
North Carolina,94.326
North Dakota,88.959
Ohio,92.774
Oklahoma,87.843
Oregon,103.361
Pennsylvania,97.572
Rhode Island,102.280
South Carolina,93.749
South Dakota,88.586
Tennessee,91.870
Texas,97.057
Utah,98.864
Vermont,97.958
Virginia,101.104
Washington,107.013
West Virginia,89.497
Wisconsin,94.095
Wyoming,92.691
