AREA_TITLE,OCC_TITLE,O_GROUP,A_MEDIAN,A_PCT10,A_PCT25,A_PCT75,A_PCT90,A_MEAN
Alabama,All Occupations,total,45670,26090,32050,66790,101250,57500
Alabama,Management Occupations,major,103980,56920,77180,151720,208110,122590
Alabama,Chief Executives,detailed,166420,101670,134650,222490,317400,201200
Alabama,General and Operations Managers,detailed,111790,55160,76840,169510,243600,137760
Alabama,Advertising and Promotions Managers,detailed,64640,60000,62500,143210,213860,109360
Alabama,Marketing Managers,detailed,120160,70790,89950,164800,225300,135310
Alabama,Sales Managers,detailed,124040,66050,87490,167200,218270,136400
Alabama,Public Relations Managers,detailed,98210,63380,80070,127510,176630,112490
Alabama,Fundraising Managers,detailed,83700,59760,73740,107310,160290,103500
Alabama,Administrative Services Managers,detailed,114550,46690,63460,154220,207300,120610
Alabama,Facilities Managers,detailed,121010,82450,99440,144990,174990,126100
Alabama,Computer and Information Systems Managers,detailed,138670,83260,105780,174470,213460,148000
Alabama,Financial Managers,detailed,140500,86340,108390,191080,256750,160120
Alabama,Industrial Production Managers,detailed,122520,69560,92350,160380,204050,129300
Alabama,Purchasing Managers,detailed,130710,77990,98100,158110,188140,132260
Alabama,"Transportation, Storage, and Distribution Managers",detailed,118320,63710,91120,149540,198970,124700
Alabama,Compensation and Benefits Managers,detailed,118470,84090,101300,152880,205840,128960
Alabama,Human Resources Managers,detailed,113210,70520,85640,153650,195570,125490
Alabama,Training and Development Managers,detailed,128750,92000,101780,160420,193900,135190
Alabama,Construction Managers,detailed,96960,61970,77190,121330,157460,102970
Alabama,"Education and Childcare Administrators, Preschool and Daycare",detailed,41780,27290,34900,58370,77530,47370
Alabama,"Education Administrators, Kindergarten through Secondary",detailed,97480,76150,82000,105450,123070,96800
Alabama,"Education Administrators, Postsecondary",detailed,100030,62570,78490,132170,211370,116790
Alabama,"Education Administrators, All Other",detailed,94610,38540,59970,113350,129720,89420
Alabama,Architectural and Engineering Managers,detailed,162350,106100,131290,201190,236230,167150
Alabama,Food Service Managers,detailed,63010,45770,57080,79000,97450,69200
Alabama,"Entertainment and Recreation Managers, Except Gambling",detailed,66540,62190,63890,66980,77720,68790
Alabama,Lodging Managers,detailed,69420,45750,59740,88340,104370,76570
Alabama,Medical and Health Services Managers,detailed,97790,64640,79500,118440,159450,105940
Alabama,Natural Sciences Managers,detailed,133470,81770,102860,168680,292940,149190
Alabama,Postmasters and Mail Superintendents,detailed,95740,87710,90650,102590,111740,97770
Alabama,"Property, Real Estate, and Community Association Managers",detailed,58240,39910,48060,73620,98740,65270
Alabama,Social and Community Service Managers,detailed,72310,46010,56960,96280,121090,77910
Alabama,Funeral Home Managers,detailed,63010,43790,49990,76170,118670,71250
Alabama,"Managers, All Other",detailed,135890,55490,91650,164390,203530,134480
Alabama,Business and Financial Operations Occupations,major,76390,45410,57700,101970,133370,84620
Alabama,Buyers and Purchasing Agents,detailed,74030,45190,57340,98580,127620,80360
Alabama,"Claims Adjusters, Examiners, and Investigators",detailed,79710,49190,62260,97070,106370,80130
Alabama,Compliance Officers,detailed,72990,41620,51300,98470,126870,78330
Alabama,Cost Estimators,detailed,74990,42400,53890,92970,118160,77050
Alabama,Human Resources Specialists,detailed,64940,41890,50930,85030,112880,72590
Alabama,Labor Relations Specialists,detailed,48120,17880,18550,85260,96990,55100
Alabama,Logisticians,detailed,98450,61320,74490,124380,142670,100340
Alabama,Project Management Specialists,detailed,100820,63550,78010,132500,164910,109660
Alabama,Management Analysts,detailed,108040,63400,82120,138590,193370,116540
Alabama,"Meeting, Convention, and Event Planners",detailed,52180,36150,42370,69790,82940,57690
Alabama,Fundraisers,detailed,60120,38440,46480,69780,84740,61260
Alabama,"Compensation, Benefits, and Job Analysis Specialists",detailed,57710,51390,51480,77250,98100,67730
Alabama,Training and Development Specialists,detailed,64490,39690,47300,83600,114010,71050
Alabama,Market Research Analysts and Marketing Specialists,detailed,59530,36100,46330,79690,114010,68500
Alabama,"Business Operations Specialists, All Other",detailed,100240,61110,77000,131270,164280,106330
Alabama,Accountants and Auditors,detailed,74880,50240,60840,95870,123170,81080
Alabama,Property Appraisers and Assessors,detailed,61370,22880,35910,97710,102650,64210
Alabama,Budget Analysts,detailed,99490,61050,76400,124380,142670,101420
Alabama,Credit Analysts,detailed,79970,52790,63950,110920,138570,93100
Alabama,Financial and Investment Analysts,detailed,91290,52200,70190,109450,157320,99690
Alabama,Personal Financial Advisors,detailed,77990,42150,47250,136050,342030,132860
Alabama,Insurance Underwriters,detailed,62220,43540,54400,98450,129600,76480
Alabama,Financial Risk Specialists,detailed,81750,39640,55710,110950,141000,89400
Alabama,Credit Counselors,detailed,48120,39260,44920,57660,73170,52040
Alabama,Loan Officers,detailed,66710,42090,49470,102990,155660,83410
Alabama,"Tax Examiners and Collectors, and Revenue Agents",detailed,58100,35160,40590,79340,107810,63270
Alabama,Tax Preparers,detailed,33280,23290,25080,36540,48020,34070
Alabama,"Financial Specialists, All Other",detailed,87110,37160,63770,112260,142670,90540
Alabama,Computer and Mathematical Occupations,major,100030,50240,69040,131860,165580,103940
Alabama,Computer Systems Analysts,detailed,101770,64880,80680,128680,163110,107430
Alabama,Information Security Analysts,detailed,122730,66090,84590,137640,170690,119070
Alabama,Computer and Information Research Scientists,detailed,117870,63290,80600,149800,174030,124970
Alabama,Computer Network Support Specialists,detailed,61890,40290,48340,79660,99270,66210
Alabama,Computer User Support Specialists,detailed,49630,35320,42260,61300,75790,53100
Alabama,Computer Network Architects,detailed,130810,76960,99660,157900,173400,128680
Alabama,Database Administrators,detailed,93900,60500,74230,119170,134810,96500
Alabama,Database Architects,detailed,105450,78400,92170,139510,172890,118790
Alabama,Network and Computer Systems Administrators,detailed,81400,51690,64800,104260,135080,89490
Alabama,Computer Programmers,detailed,93800,58100,72770,114000,132330,96410
Alabama,Software Developers,detailed,122540,71590,86990,154290,175330,122840
Alabama,Software Quality Assurance Analysts and Testers,detailed,101500,62670,78520,130320,162600,105650
Alabama,Web Developers,detailed,*,*,*,*,*,*
Alabama,Web and Digital Interface Designers,detailed,51860,44190,48730,96450,127500,73190
Alabama,"Computer Occupations, All Other",detailed,106330,59260,81960,130440,151300,106400
Alabama,Actuaries,detailed,136950,71240,82630,149320,160740,124290
Alabama,Operations Research Analysts,detailed,115630,64830,82210,146970,173910,117850
Alabama,Statisticians,detailed,76400,51490,59130,95370,122570,79820
Alabama,Data Scientists,detailed,103120,59130,74140,127660,161590,105180
Alabama,Architecture and Engineering Occupations,major,99990,55020,76230,133170,171270,107520
Alabama,"Architects, Except Landscape and Naval",detailed,95990,62980,76340,133150,174870,110110
Alabama,Landscape Architects,detailed,101220,60370,74930,109010,113430,94720
Alabama,Surveyors,detailed,66840,38520,50700,86820,112580,71980
Alabama,Aerospace Engineers,detailed,127540,78660,98190,165410,195190,131910
Alabama,Bioengineers and Biomedical Engineers,detailed,85720,70010,76610,101250,142210,95290
Alabama,Chemical Engineers,detailed,135030,77750,96820,141840,164700,124470
Alabama,Civil Engineers,detailed,99010,63930,77750,128900,168370,107550
Alabama,Computer Hardware Engineers,detailed,136990,80680,107180,163750,195190,138870
Alabama,Electrical Engineers,detailed,125630,77840,98220,153280,180220,126380
Alabama,"Electronics Engineers, Except Computer",detailed,120720,77100,94710,155520,195190,126500
Alabama,Environmental Engineers,detailed,102650,66720,78370,125290,158910,107220
Alabama,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detailed,105490,68420,85600,134100,165440,112970
Alabama,Industrial Engineers,detailed,99880,68410,80920,122640,152970,104900
Alabama,Materials Engineers,detailed,107580,69260,83880,137620,168580,114610
Alabama,Mechanical Engineers,detailed,100230,72110,83800,128100,162420,109330
Alabama,"Mining and Geological Engineers, Including Mining Safety Engineers",detailed,102530,57540,72490,124990,183090,107120
Alabama,Nuclear Engineers,detailed,132570,97950,125870,154920,161290,134480
Alabama,Petroleum Engineers,detailed,*,*,*,*,*,*
Alabama,"Engineers, All Other",detailed,152550,87780,116040,183040,195190,146450
Alabama,Architectural and Civil Drafters,detailed,57100,39040,46420,68850,77630,57890
Alabama,Electrical and Electronics Drafters,detailed,51650,36280,44660,64630,92200,56840
Alabama,Mechanical Drafters,detailed,53600,39630,45160,76960,89600,61230
Alabama,"Drafters, All Other",detailed,47320,34120,36750,61030,80030,52460
Alabama,Aerospace Engineering and Operations Technologists and Technicians,detailed,62130,43390,47640,84150,110250,69540
Alabama,Civil Engineering Technologists and Technicians,detailed,52750,35610,43430,65610,79240,56120
Alabama,Electrical and Electronic Engineering Technologists and Technicians,detailed,74500,45500,54860,91840,108720,75430
Alabama,Electro-Mechanical and Mechatronics Technologists and Technicians,detailed,66660,40390,49220,85280,102650,70130
Alabama,Environmental Engineering Technologists and Technicians,detailed,60170,45160,50360,76760,86810,64960
Alabama,Industrial Engineering Technologists and Technicians,detailed,66510,44950,50560,77790,98940,68250
Alabama,Mechanical Engineering Technologists and Technicians,detailed,60350,46370,50060,74390,78690,64030
Alabama,"Engineering Technologists and Technicians, Except Drafters, All Other",detailed,74650,43710,47640,96310,119970,76480
Alabama,Surveying and Mapping Technicians,detailed,46450,31370,36930,59740,80140,50730
Alabama,"Life, Physical, and Social Science Occupations",major,74070,45320,55610,97720,128020,81380
Alabama,Food Scientists and Technologists,detailed,97480,58510,82730,113640,122790,96280
Alabama,Soil and Plant Scientists,detailed,63010,27270,50660,88510,146810,76640
Alabama,Biochemists and Biophysicists,detailed,48510,47090,48510,64110,85520,64020
Alabama,Microbiologists,detailed,65690,38350,49000,76160,96660,69120
Alabama,Zoologists and Wildlife Biologists,detailed,74290,47120,55640,81670,99600,74110
Alabama,"Biological Scientists, All Other",detailed,87260,61620,68460,103700,116900,90010
Alabama,Conservation Scientists,detailed,77000,48730,60300,101500,115590,80870
Alabama,Foresters,detailed,79530,50240,60040,87050,95400,75660
Alabama,Epidemiologists,detailed,74740,47830,59560,88200,106590,74780
Alabama,"Medical Scientists, Except Epidemiologists",detailed,68490,51140,60950,82900,135150,84100
Alabama,"Life Scientists, All Other",detailed,110560,80110,88510,128410,148920,112420
Alabama,Physicists,detailed,139330,74290,103570,195190,227790,147580
Alabama,Atmospheric and Space Scientists,detailed,81080,47330,65230,104300,151300,93820
Alabama,Chemists,detailed,97830,61050,73500,126200,150410,101710
Alabama,"Environmental Scientists and Specialists, Including Health",detailed,72490,41260,52750,85350,114900,74510
Alabama,"Geoscientists, Except Hydrologists and Geographers",detailed,88610,49110,63130,106200,136990,89960
Alabama,"Physical Scientists, All Other",detailed,135350,97470,117060,166280,206060,142930
Alabama,Economists,detailed,129960,74520,91210,153570,175170,127060
Alabama,Clinical and Counseling Psychologists,detailed,90800,57530,69000,126430,154340,110120
Alabama,School Psychologists,detailed,75060,68710,71970,78700,104720,78560
Alabama,"Psychologists, All Other",detailed,136070,64230,109300,152570,160800,127540
Alabama,Urban and Regional Planners,detailed,70710,46650,58100,98960,124040,79360
Alabama,Anthropologists and Archeologists,detailed,75690,40960,54070,78630,82880,68840
Alabama,Historians,detailed,72490,42300,54040,91560,122930,77820
Alabama,"Social Scientists and Related Workers, All Other",detailed,95370,74170,79640,124180,142670,103310
Alabama,Food Science Technicians,detailed,40940,38530,38640,44470,62060,43710
Alabama,Biological Technicians,detailed,49220,35610,41260,55250,62230,48940
Alabama,Chemical Technicians,detailed,58150,37990,45690,74820,84930,61020
Alabama,"Environmental Science and Protection Technicians, Including Health",detailed,45000,37340,38710,52180,69990,48630
Alabama,"Geological Technicians, Except Hydrologic Technicians",detailed,35670,29270,30260,46800,49000,39290
Alabama,Nuclear Technicians,detailed,110240,97500,105880,118110,153280,114020
Alabama,Social Science Research Assistants,detailed,53080,52430,53080,53950,57160,52590
Alabama,Forest and Conservation Technicians,detailed,56720,41260,50240,62590,76160,57630
Alabama,Forensic Science Technicians,detailed,59560,39300,49000,74290,88510,63470
Alabama,"Life, Physical, and Social Science Technicians, All Other",detailed,59500,40260,46660,73360,80110,61640
Alabama,Occupational Health and Safety Specialists,detailed,82260,51480,63040,102420,125780,86060
Alabama,Occupational Health and Safety Technicians,detailed,55010,41780,49600,70810,96350,62430
Alabama,Community and Social Service Occupations,major,49020,33680,39620,64140,77450,53770
Alabama,"Educational, Guidance, and Career Counselors and Advisors",detailed,59570,37670,45590,73450,78570,59540
Alabama,Marriage and Family Therapists,detailed,49990,40250,45340,62340,75100,54170
Alabama,Rehabilitation Counselors,detailed,54040,35230,41260,72490,80110,57150
Alabama,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",detailed,47310,34420,39430,62670,76510,54200
Alabama,"Counselors, All Other",detailed,47580,30490,38420,49610,51300,44450
Alabama,"Child, Family, and School Social Workers",detailed,46660,37780,41890,59560,72490,51720
Alabama,Healthcare Social Workers,detailed,60000,40020,48350,65710,74440,58360
Alabama,Mental Health and Substance Abuse Social Workers,detailed,41500,29370,35740,55640,64750,45480
Alabama,"Social Workers, All Other",detailed,94270,49280,82450,105370,112510,90850
Alabama,Health Education Specialists,detailed,65210,40580,45500,78760,97180,65140
Alabama,Probation Officers and Correctional Treatment Specialists,detailed,61050,42300,49000,74290,84270,62270
Alabama,Social and Human Service Assistants,detailed,35830,24170,29660,42730,52100,37240
Alabama,Community Health Workers,detailed,43340,33470,36800,47880,62790,45050
Alabama,"Community and Social Service Specialists, All Other",detailed,*,*,*,*,*,*
Alabama,Clergy,detailed,50180,38480,48140,57650,71650,53790
Alabama,"Directors, Religious Activities and Education",detailed,79310,53090,65780,114490,122180,82620
Alabama,Legal Occupations,major,73480,37390,48140,131570,205710,99500
Alabama,Lawyers,detailed,131970,62310,82920,181440,249090,146630
Alabama,"Administrative Law Judges, Adjudicators, and Hearing Officers",detailed,134810,76160,112400,207480,207480,150430
Alabama,"Arbitrators, Mediators, and Conciliators",detailed,76810,44770,49220,88510,112790,76280
Alabama,"Judges, Magistrate Judges, and Magistrates",detailed,52850,37420,41660,77310,110110,66740
Alabama,Paralegals and Legal Assistants,detailed,47260,30750,38150,63490,77100,52730
Alabama,"Title Examiners, Abstractors, and Searchers",detailed,61330,45360,48570,77340,87440,63910
Alabama,Educational Instruction and Library Occupations,major,56690,23060,30020,64780,77950,54920
Alabama,"Business Teachers, Postsecondary",detailed,82170,48310,62710,128810,171420,103170
Alabama,"Computer Science Teachers, Postsecondary",detailed,92640,56310,64640,123780,159600,99120
Alabama,"Mathematical Science Teachers, Postsecondary",detailed,65900,50230,60560,79630,97860,72580
Alabama,"Architecture Teachers, Postsecondary",detailed,80770,62890,79300,101760,125400,92760
Alabama,"Engineering Teachers, Postsecondary",detailed,103580,59880,78650,129480,164210,109190
Alabama,"Agricultural Sciences Teachers, Postsecondary",detailed,80030,47370,59210,99720,125800,81730
Alabama,"Biological Science Teachers, Postsecondary",detailed,77540,49800,61440,100610,161460,91440
Alabama,"Forestry and Conservation Science Teachers, Postsecondary",detailed,80380,48230,60960,99560,125460,79780
Alabama,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",detailed,81940,56080,63640,97300,127790,87110
Alabama,"Chemistry Teachers, Postsecondary",detailed,76430,58230,63450,100110,132730,88450
Alabama,"Environmental Science Teachers, Postsecondary",detailed,64700,43780,45980,76460,76460,61270
Alabama,"Physics Teachers, Postsecondary",detailed,82750,58510,60990,100620,121120,87430
Alabama,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",detailed,63090,47690,60260,72610,101820,68620
Alabama,"Economics Teachers, Postsecondary",detailed,101250,61260,76590,129650,145900,102820
Alabama,"Political Science Teachers, Postsecondary",detailed,77860,51650,62200,98900,139270,85990
Alabama,"Psychology Teachers, Postsecondary",detailed,75340,49000,61240,95560,129240,83370
Alabama,"Sociology Teachers, Postsecondary",detailed,73670,48480,61050,92280,104780,79890
Alabama,"Health Specialties Teachers, Postsecondary",detailed,92310,58540,61270,128720,202190,110670
Alabama,"Nursing Instructors and Teachers, Postsecondary",detailed,79690,48100,61920,93360,122930,82800
Alabama,"Education Teachers, Postsecondary",detailed,63730,46750,51850,78350,100490,68550
Alabama,"Library Science Teachers, Postsecondary",detailed,76340,51870,61990,78820,98200,76690
Alabama,"Criminal Justice and Law Enforcement Teachers, Postsecondary",detailed,65280,46630,63140,80640,118560,75810
Alabama,"Law Teachers, Postsecondary",detailed,135340,30490,78340,168070,199470,134540
Alabama,"Social Work Teachers, Postsecondary",detailed,66520,51130,58220,75660,103710,75250
Alabama,"Art, Drama, and Music Teachers, Postsecondary",detailed,63540,51000,59990,77540,96320,71270
Alabama,"Communications Teachers, Postsecondary",detailed,63760,47420,51990,78400,99160,69490
Alabama,"English Language and Literature Teachers, Postsecondary",detailed,62910,46450,54730,75450,92140,65490
Alabama,"Foreign Language and Literature Teachers, Postsecondary",detailed,70580,52750,60130,81350,95300,72140
Alabama,"History Teachers, Postsecondary",detailed,66550,49990,61040,81680,98360,73210
Alabama,"Philosophy and Religion Teachers, Postsecondary",detailed,62210,46760,57740,79030,96030,69850
Alabama,"Family and Consumer Sciences Teachers, Postsecondary",detailed,63420,50720,53640,69120,72480,62670
Alabama,"Recreation and Fitness Studies Teachers, Postsecondary",detailed,72680,50700,64640,75240,89920,69950
Alabama,"Career/Technical Education Teachers, Postsecondary",detailed,62580,44800,49510,85580,122750,73230
Alabama,"Postsecondary Teachers, All Other",detailed,51060,46420,49500,54990,58180,52760
Alabama,"Preschool Teachers, Except Special Education",detailed,28310,21150,23190,33240,47350,31160
Alabama,"Kindergarten Teachers, Except Special Education",detailed,50900,37400,39820,63790,67510,53360
